,cls,codec,codec_path,is_raw,source,source_len,source_affix,source_entropy,input_len,input_entropy,bps,size,K,O,S,symbol_p_threshold,original_source
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.1000000_ON_Source_Laplacian_16symbols_entropy0.1000000,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.1000000,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.1000000.zip,False,Source_Laplacian_16symbols_entropy0.1000000,16,Laplacian,0.10000000037323656,131072,0.10050767366552678,0.2088623046875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.1025641_ON_Source_Laplacian_16symbols_entropy0.1025641,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.1025641,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.1025641.zip,False,Source_Laplacian_16symbols_entropy0.1025641,16,Laplacian,0.10256410257248678,131072,0.10299359730842388,0.21466064453125,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.2051282_ON_Source_Laplacian_16symbols_entropy0.2051282,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.2051282,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.2051282.zip,False,Source_Laplacian_16symbols_entropy0.2051282,16,Laplacian,0.20512820479820465,131072,0.20563648029340256,0.36224365234375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.3076923_ON_Source_Laplacian_16symbols_entropy0.3076923,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.3076923,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.3076923.zip,False,Source_Laplacian_16symbols_entropy0.3076923,16,Laplacian,0.3076923074295368,131072,0.3082089771441036,0.501953125,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.4102564_ON_Source_Laplacian_16symbols_entropy0.4102564,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.4102564,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.4102564.zip,False,Source_Laplacian_16symbols_entropy0.4102564,16,Laplacian,0.41025641002327823,131072,0.41089594068188684,0.6531982421875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.5128205_ON_Source_Laplacian_16symbols_entropy0.5128205,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.5128205,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.5128205.zip,False,Source_Laplacian_16symbols_entropy0.5128205,16,Laplacian,0.512820512670515,131072,0.513602422652931,0.82940673828125,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.6153846_ON_Source_Laplacian_16symbols_entropy0.6153846,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.6153846,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.6153846.zip,False,Source_Laplacian_16symbols_entropy0.6153846,16,Laplacian,0.6153846156839253,131072,0.6163178027425665,0.89508056640625,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.7179487_ON_Source_Laplacian_16symbols_entropy0.7179487,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.7179487,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.7179487.zip,False,Source_Laplacian_16symbols_entropy0.7179487,16,Laplacian,0.7179487180940487,131072,0.7189487345361348,0.9759521484375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.8205128_ON_Source_Laplacian_16symbols_entropy0.8205128,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.8205128,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.8205128.zip,False,Source_Laplacian_16symbols_entropy0.8205128,16,Laplacian,0.82051282059569,131072,0.8216093623257334,1.09674072265625,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy1.0256410_ON_Source_Laplacian_16symbols_entropy1.0256410,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy1.0256410,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy1.0256410.zip,False,Source_Laplacian_16symbols_entropy1.0256410,16,Laplacian,1.025641025368035,131072,1.0267582510792623,1.29541015625,256.0,,,,,
